iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_selected_features_count
120,209.92082643175257,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
121,183.83106410500875,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
122,178.24504050627255,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
123,177.70638181032064,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
124,179.40140595052583,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
125,178.84299582094565,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
126,180.41895796887457,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
127,189.85824121323185,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
128,179.2117622408101,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
129,184.4957806986372,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
130,217.42078828930747,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
131,177.79371964565365,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
132,178.27075016177494,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
133,179.32015583386965,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
134,179.31340118154893,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
135,179.93224170248268,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
136,178.96188855984238,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
137,180.87796783398696,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
138,177.66746189104362,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
139,196.1003622681399,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
140,180.56281453149333,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
